"ThisYear","NumTitles","NumMovies","NumFeatures","NumShorts","NumAdult","NumAdultMovie","numTwoReeler","Movie_Min","Movie_Max","Movie_Median","Movie_Mean","numWesterns","numMusical"
1870,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1871,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1872,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1873,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1874,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0
1875,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1876,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1877,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1878,2,0,0,2,0,0,0,NA,NA,NA,NA,0,0
1879,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1880,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1881,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0
1882,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1883,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0
1884,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1885,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0
1886,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
1887,45,0,0,45,0,0,0,NA,NA,NA,NA,0,0
1888,5,0,0,5,0,0,0,NA,NA,NA,NA,0,0
1889,2,0,0,2,0,0,0,NA,NA,NA,NA,0,0
1890,6,0,0,6,0,0,0,NA,NA,NA,NA,0,0
1891,10,0,0,10,0,0,0,NA,NA,NA,NA,0,0
1892,9,0,0,9,0,0,0,NA,NA,NA,NA,0,0
1893,3,0,0,3,0,0,0,NA,NA,NA,NA,0,0
1894,98,0,0,98,0,0,0,NA,NA,NA,NA,1,0
1895,115,0,0,115,0,0,0,NA,NA,NA,NA,0,0
1896,845,1,0,844,0,0,0,7,7,7,7,0,0
1897,1361,1,0,1360,0,0,0,NA,NA,NA,NA,0,0
1898,1795,8,0,1787,0,0,0,2,2,2,2,0,0
1899,1817,8,0,1809,0,0,0,4,4,4,4,4,0
1900,1859,6,0,1853,0,0,0,8,10,9,9,0,14
1901,1768,7,0,1761,1,0,0,NA,NA,NA,NA,1,0
1902,1808,4,0,1804,0,0,0,NA,NA,NA,NA,0,0
1903,2676,3,0,2673,0,0,9,18,18,18,18,7,0
1904,1837,2,0,1835,0,0,17,17,17,17,17,4,1
1905,1704,18,0,1686,1,0,31,4,17,10.5,10.5,1,1
1906,1860,23,0,1835,0,0,56,19,19,19,19,7,2
1907,2483,14,0,2468,1,0,70,17,17,17,17,19,1
1908,4283,23,0,4259,1,0,105,6,26,16,16,49,40
1909,5432,95,0,5337,1,0,145,26,32,29,29,107,40
1910,6409,110,0,6298,1,0,35,4,45,35,32.6666666666667,384,51
1911,7706,169,0,7537,0,0,36,4,58,46,42.9130434782609,515,3
1912,8710,353,1,8355,0,0,133,4,60,48,45.8444444444444,582,0
1913,9773,684,95,9088,0,0,488,4,95,65,63.7460317460317,484,4
1914,9323,1160,138,8161,2,1,277,4,106,70,68.0365853658537,398,2
1915,8552,1641,88,6911,1,0,198,4,92,55,59.2789699570815,297,0
1916,7026,2095,476,4931,0,0,143,5,98,60,62.2514506769826,220,0
1917,5608,2180,567,3428,0,0,152,4,106,61,65.5609348914858,175,2
1918,4728,2238,530,2490,0,0,98,4,104,60,64.9005328596803,143,0
1919,4124,2440,525,1684,0,0,31,4,113,67,71.347442680776,204,1
1920,4497,2649,529,1848,8,1,48,5,113,67.5,70.3074204946996,183,3
1921,4225,2583,495,1640,3,0,138,4,107,69,67.3634651600753,222,2
1922,3603,2179,316,1419,1,0,32,4,103,69,66.7351851851852,206,2
1923,3039,1909,470,1127,3,0,36,4,113,75,75.2639691714836,153,1
1924,3094,1923,518,1166,3,0,36,4,118,79,79.5842105263158,211,4
1925,3379,2058,592,1316,7,0,28,4,126,85,83.8787878787879,269,7
1926,3397,2039,611,1350,0,0,26,4,131,96,90.072808320951,216,4
1927,3510,2157,643,1347,1,0,25,4,136,94,92.9747899159664,199,23
1928,3488,2132,679,1351,1,0,39,4,140,100.5,96.0039164490862,179,18
1929,3647,2018,616,1624,1,0,44,4,137,106,96.377304964539,99,269
1930,3185,1980,792,1173,5,0,53,2,128,99,92.9351535836177,59,278
1931,3292,2053,995,1201,1,0,47,4,142,114,105.078923766816,76,141
1932,3072,2079,1076,967,2,0,28,4,145,116,109.569837189374,80,123
1933,2917,1998,1020,891,3,0,30,4,139,109,103.036639857015,44,166
1934,2972,1920,1090,1005,3,1,47,4,151,122,114.549624687239,49,197
1935,2904,1948,1144,926,1,0,30,4,156,125,117.191188040913,107,203
1936,3356,2227,1256,1015,2,2,54,4,166,136,126.340486409156,92,186
1937,3578,2120,1248,1073,2,0,54,4,161,130.5,119.780985915493,86,186
1938,3395,1981,1209,1024,0,0,54,4,163,135,121.838383838384,72,173
1939,3028,1871,1133,894,1,1,57,4,170,143,127.883435582822,86,139
1940,2627,1761,1067,797,3,1,51,4,160,131,119.105519480519,90,125
1941,2498,1530,942,924,1,0,78,4,169,140,122.199115044248,114,132
1942,2415,1465,973,920,2,0,57,4,160,133,115.666952054795,103,105
1943,2197,1331,930,817,0,0,63,4,151,125.5,110.113924050633,89,108
1944,2039,1167,727,811,1,0,65,4,146,117,101.129424778761,92,120
1945,2042,1119,641,826,2,0,53,3,139,106,92.5286935286935,71,116
1946,2499,1309,741,860,0,0,64,4,146,117,101.166486486486,91,124
1947,2952,1502,807,825,1,0,69,4,152,126.5,106.846456692913,91,113
1948,3623,1628,909,874,3,1,78,4,156,132,112.633423180593,114,110
1949,4931,1779,984,926,0,0,125,4,159,139,114.93954248366,153,178
1950,7280,1910,1063,953,5,0,94,4,160,140,115.34606741573,236,211
1951,8731,1876,1090,968,1,0,119,4,165,145,119.618488628026,267,218
1952,9294,1996,1050,1016,6,0,111,4,173,153,122.505185185185,351,160
1953,9665,2057,1122,1065,2,0,106,4,176,156,125.140874392783,292,145
1954,11584,2086,1051,1014,0,0,141,4,172,150,116.122206703911,284,151
1955,12797,2153,1078,1119,9,1,147,4,173,153,117.452510176391,498,183
